"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_constantes"
"2011","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","402833.43"
"2011","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","402833.43"
"2011","1","Prestaciones previsionales por moratoria previsional con bonos","402833.43"
"2011","1","Prestaciones previsionales por moratoria previsional sin bonos","402833.43"
"2011","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","402833.43"
"2011","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","402833.43"
"2011","1","ProHuerta",
"2011","1","Argentina trabaja","461951.7"
"2011","1","Programa de empleo comunitario",
"2011","1","Trabajo autogestionado",
"2011","1","Monotributo social",
"2011","1","Seguro de capacitación y empleo","104420.33"
"2011","1","Empleo independiente",
"2011","1","Jóvenes con más y mejor trabajo",
"2011","1","Programa de inserción laboral",
"2011","1","Programa de recuperación productiva 1",
"2011","1","Asignación universal por hijo","67752.92"
"2011","1","Asignación universal por hijo con discapacidad","271011.67"
"2011","1","Jefes de hogar",
"2011","2","Pensiones no contributivas por invalidez con bonos","277920.15"
"2011","2","Pensiones no contributivas por invalidez sin bonos","277920.15"
"2011","2","Pensiones no contributivas por vejez con bonos","277920.15"
"2011","2","Pensiones no contributivas por vejez sin bonos","277920.15"
"2011","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","397028.78"
"2011","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","397028.78"
"2011","2","Prestaciones previsionales por moratoria previsional con bonos","397028.78"
"2011","2","Prestaciones previsionales por moratoria previsional sin bonos","397028.78"
"2011","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","397028.78"
"2011","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","397028.78"
"2011","2","ProHuerta",
"2011","2","Argentina trabaja","455295.18"
"2011","2","Programa de empleo comunitario",
"2011","2","Trabajo autogestionado",
"2011","2","Monotributo social",
"2011","2","Seguro de capacitación y empleo","105268.04"
"2011","2","Empleo independiente",
"2011","2","Jóvenes con más y mejor trabajo",
"2011","2","Programa de inserción laboral",
"2011","2","Programa de recuperación productiva 1",
"2011","2","Asignación universal por hijo","66776.63"
"2011","2","Asignación universal por hijo con discapacidad","267106.51"
"2011","2","Jefes de hogar",
"2011","3","Pensiones no contributivas por invalidez con bonos","319760.38"
"2011","3","Pensiones no contributivas por invalidez sin bonos","319760.38"
"2011","3","Pensiones no contributivas por vejez con bonos","319760.38"
"2011","3","Pensiones no contributivas por vejez sin bonos","319760.38"
"2011","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","456800.54"
"2011","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","456800.54"
"2011","3","Prestaciones previsionales por moratoria previsional con bonos","456800.54"
"2011","3","Prestaciones previsionales por moratoria previsional sin bonos","456800.54"
"2011","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","456800.54"
"2011","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","456800.54"
"2011","3","ProHuerta",
"2011","3","Argentina trabaja","446464.88"
"2011","3","Programa de empleo comunitario",
"2011","3","Trabajo autogestionado",
"2011","3","Monotributo social",
"2011","3","Seguro de capacitación y empleo","103371.5"
"2011","3","Empleo independiente",
"2011","3","Jóvenes con más y mejor trabajo",
"2011","3","Programa de inserción laboral",
"2011","3","Programa de recuperación productiva 1",
"2011","3","Asignación universal por hijo","65481.52"
"2011","3","Asignación universal por hijo con discapacidad","261926.06"
"2011","3","Jefes de hogar",
"2011","4","Pensiones no contributivas por invalidez con bonos","313627.63"
"2011","4","Pensiones no contributivas por invalidez sin bonos","313627.63"
"2011","4","Pensiones no contributivas por vejez con bonos","313627.63"
"2011","4","Pensiones no contributivas por vejez sin bonos","313627.63"
"2011","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","448039.48"
"2011","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","448039.48"
"2011","4","Prestaciones previsionales por moratoria previsional con bonos","448039.48"
"2011","4","Prestaciones previsionales por moratoria previsional sin bonos","448039.48"
"2011","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","448039.48"
"2011","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","448039.48"
"2011","4","ProHuerta",
"2011","4","Argentina trabaja","437902.04"
"2011","4","Programa de empleo comunitario",
"2011","4","Trabajo autogestionado",
"2011","4","Monotributo social",
"2011","4","Seguro de capacitación y empleo","103333.93"
"2011","4","Empleo independiente",
"2011","4","Jóvenes con más y mejor trabajo",
"2011","4","Programa de inserción laboral",
"2011","4","Programa de recuperación productiva 1",
"2011","4","Asignación universal por hijo","64225.63"
"2011","4","Asignación universal por hijo con discapacidad","256902.53"
"2011","4","Jefes de hogar",
"2011","5","Pensiones no contributivas por invalidez con bonos","308347.89"
"2011","5","Pensiones no contributivas por invalidez sin bonos","308347.89"
"2011","5","Pensiones no contributivas por vejez con bonos","308347.89"
"2011","5","Pensiones no contributivas por vejez sin bonos","308347.89"
"2011","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","440496.99"
"2011","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","440496.99"
"2011","5","Prestaciones previsionales por moratoria previsional con bonos","440496.99"
"2011","5","Prestaciones previsionales por moratoria previsional sin bonos","440496.99"
"2011","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","440496.99"
"2011","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","440496.99"
"2011","5","ProHuerta",
"2011","5","Argentina trabaja","430530.21"
"2011","5","Programa de empleo comunitario",
"2011","5","Trabajo autogestionado",
"2011","5","Monotributo social",
"2011","5","Seguro de capacitación y empleo","112946.01"
"2011","5","Empleo independiente",
"2011","5","Jóvenes con más y mejor trabajo",
"2011","5","Programa de inserción laboral",
"2011","5","Programa de recuperación productiva 1",
"2011","5","Asignación por embarazo para protección social","63144.43"
"2011","5","Asignación universal por hijo","63144.43"
"2011","5","Asignación universal por hijo con discapacidad","252577.73"
"2011","5","Jefes de hogar",
"2011","6","Pensiones no contributivas por invalidez con bonos","457216.35"
"2011","6","Pensiones no contributivas por invalidez sin bonos","457216.35"
"2011","6","Pensiones no contributivas por vejez con bonos","457216.35"
"2011","6","Pensiones no contributivas por vejez sin bonos","457216.35"
"2011","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","653166.22"
"2011","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","653166.22"
"2011","6","Prestaciones previsionales por moratoria previsional con bonos","653166.22"
"2011","6","Prestaciones previsionales por moratoria previsional sin bonos","653166.22"
"2011","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","435444.15"
"2011","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","435444.15"
"2011","6","ProHuerta",
"2011","6","Argentina trabaja","425591.7"
"2011","6","Programa de empleo comunitario",
"2011","6","Trabajo autogestionado",
"2011","6","Monotributo social",
"2011","6","Seguro de capacitación y empleo","101844.09"
"2011","6","Empleo independiente",
"2011","6","Jóvenes con más y mejor trabajo",
"2011","6","Programa de inserción laboral",
"2011","6","Programa de recuperación productiva 1",
"2011","6","Asignación por embarazo para protección social","62420.12"
"2011","6","Asignación universal por hijo","62420.12"
"2011","6","Asignación universal por hijo con discapacidad","249680.46"
"2011","6","Jefes de hogar",
"2011","7","Pensiones no contributivas por invalidez con bonos","300914.64"
"2011","7","Pensiones no contributivas por invalidez sin bonos","300914.64"
"2011","7","Pensiones no contributivas por vejez con bonos","300914.64"
"2011","7","Pensiones no contributivas por vejez sin bonos","300914.64"
"2011","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","429878.05"
"2011","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","429878.05"
"2011","7","Prestaciones previsionales por moratoria previsional con bonos","429878.05"
"2011","7","Prestaciones previsionales por moratoria previsional sin bonos","429878.05"
"2011","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","429878.05"
"2011","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","429878.05"
"2011","7","ProHuerta",
"2011","7","Argentina trabaja","420151.54"
"2011","7","Programa de empleo comunitario",
"2011","7","Trabajo autogestionado",
"2011","7","Monotributo social",
"2011","7","Seguro de capacitación y empleo","103584.86"
"2011","7","Empleo independiente",
"2011","7","Jóvenes con más y mejor trabajo",
"2011","7","Programa de inserción laboral",
"2011","7","Programa de recuperación productiva 1",
"2011","7","Asignación por embarazo para protección social","61972.35"
"2011","7","Asignación universal por hijo","61972.35"
"2011","7","Asignación universal por hijo con discapacidad","247539.28"
"2011","7","Jefes de hogar",
"2011","8","Pensiones no contributivas por invalidez con bonos","295994.72"
"2011","8","Pensiones no contributivas por invalidez sin bonos","295994.72"
"2011","8","Pensiones no contributivas por vejez con bonos","295994.72"
"2011","8","Pensiones no contributivas por vejez sin bonos","295994.72"
"2011","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","422849.6"
"2011","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","422849.6"
"2011","8","Prestaciones previsionales por moratoria previsional con bonos","422849.6"
"2011","8","Prestaciones previsionales por moratoria previsional sin bonos","422849.6"
"2011","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","422849.6"
"2011","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","422849.6"
"2011","8","ProHuerta",
"2011","8","Argentina trabaja","413282.12"
"2011","8","Programa de empleo comunitario",
"2011","8","Trabajo autogestionado",
"2011","8","Monotributo social",
"2011","8","Seguro de capacitación y empleo","113476.94"
"2011","8","Empleo independiente",
"2011","8","Jóvenes con más y mejor trabajo",
"2011","8","Programa de inserción laboral",
"2011","8","Programa de recuperación productiva 1",
"2011","8","Asignación por embarazo para protección social","60614.71"
"2011","8","Asignación universal por hijo","60959.11"
"2011","8","Asignación universal por hijo con discapacidad","243492.05"
"2011","8","Jefes de hogar",
"2011","9","Pensiones no contributivas por invalidez con bonos","339963.85"
"2011","9","Pensiones no contributivas por invalidez sin bonos","339963.85"
"2011","9","Pensiones no contributivas por vejez con bonos","339963.85"
"2011","9","Pensiones no contributivas por vejez sin bonos","339963.85"
"2011","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","485662.64"
"2011","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","485662.64"
"2011","9","Prestaciones previsionales por moratoria previsional con bonos","485662.64"
"2011","9","Prestaciones previsionales por moratoria previsional sin bonos","485662.64"
"2011","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","485662.64"
"2011","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","485662.64"
"2011","9","ProHuerta",
"2011","9","Argentina trabaja","406330.08"
"2011","9","Programa de empleo comunitario",
"2011","9","Trabajo autogestionado",
"2011","9","Monotributo social",
"2011","9","Seguro de capacitación y empleo","107162.79"
"2011","9","Empleo independiente",
"2011","9","Jóvenes con más y mejor trabajo",
"2011","9","Programa de inserción laboral",
"2011","9","Programa de recuperación productiva 1",
"2011","9","Asignación por embarazo para protección social","73139.41"
"2011","9","Asignación universal por hijo","73139.41"
"2011","9","Asignación universal por hijo con discapacidad","292557.66"
"2011","9","Jefes de hogar",
"2011","10","Pensiones no contributivas por invalidez con bonos","335132.74"
"2011","10","Pensiones no contributivas por invalidez sin bonos","335132.74"
"2011","10","Pensiones no contributivas por vejez con bonos","335132.74"
"2011","10","Pensiones no contributivas por vejez sin bonos","335132.74"
"2011","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","478761.06"
"2011","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","478761.06"
"2011","10","Prestaciones previsionales por moratoria previsional con bonos","478761.06"
"2011","10","Prestaciones previsionales por moratoria previsional sin bonos","478761.06"
"2011","10","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","478761.06"
"2011","10","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","478761.06"
"2011","10","ProHuerta",
"2011","10","Argentina trabaja","400555.87"
"2011","10","Programa de empleo comunitario",
"2011","10","Trabajo autogestionado",
"2011","10","Monotributo social",
"2011","10","Seguro de capacitación y empleo","104241.33"
"2011","10","Empleo independiente",
"2011","10","Jóvenes con más y mejor trabajo",
"2011","10","Programa de inserción laboral",
"2011","10","Programa de recuperación productiva 1",
"2011","10","Asignación por embarazo para protección social","72100.06"
"2011","10","Asignación universal por hijo","72100.06"
"2011","10","Asignación universal por hijo con discapacidad","288400.22"
"2011","10","Jefes de hogar",
"2011","11","Pensiones no contributivas por invalidez con bonos","330250.6"
"2011","11","Pensiones no contributivas por invalidez sin bonos","330250.6"
"2011","11","Pensiones no contributivas por vejez con bonos","330250.6"
"2011","11","Pensiones no contributivas por vejez sin bonos","330250.6"
"2011","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","471786.57"
"2011","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","471786.57"
"2011","11","Prestaciones previsionales por moratoria previsional con bonos","471786.57"
"2011","11","Prestaciones previsionales por moratoria previsional sin bonos","471786.57"
"2011","11","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","471786.57"
"2011","11","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","471786.57"
"2011","11","ProHuerta",
"2011","11","Argentina trabaja","394720.65"
"2011","11","Programa de empleo comunitario",
"2011","11","Trabajo autogestionado",
"2011","11","Monotributo social",
"2011","11","Seguro de capacitación y empleo","104962.8"
"2011","11","Empleo independiente",
"2011","11","Jóvenes con más y mejor trabajo",
"2011","11","Programa de inserción laboral",
"2011","11","Programa de recuperación productiva 1",
"2011","11","Asignación por embarazo para protección social","71049.72"
"2011","11","Asignación universal por hijo","71049.72"
"2011","11","Asignación universal por hijo con discapacidad","284198.87"
"2011","11","Jefes de hogar",
"2011","12","Pensiones no contributivas por invalidez con bonos","486437.14"
"2011","12","Pensiones no contributivas por invalidez sin bonos","486437.14"
"2011","12","Pensiones no contributivas por vejez con bonos","486437.14"
"2011","12","Pensiones no contributivas por vejez sin bonos","486437.14"
"2011","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","694910.19"
"2011","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","694910.19"
"2011","12","Prestaciones previsionales por moratoria previsional con bonos","694910.19"
"2011","12","Prestaciones previsionales por moratoria previsional sin bonos","694910.19"
"2011","12","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","463273.46"
"2011","12","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","463273.46"
"2011","12","ProHuerta",
"2011","12","Argentina trabaja","387598.15"
"2011","12","Programa de empleo comunitario",
"2011","12","Trabajo autogestionado",
"2011","12","Monotributo social",
"2011","12","Seguro de capacitación y empleo","104880.83"
"2011","12","Empleo independiente",
"2011","12","Jóvenes con más y mejor trabajo",
"2011","12","Programa de inserción laboral",
"2011","12","Programa de recuperación productiva 1",
"2011","12","Asignación por embarazo para protección social","69767.67"
"2011","12","Asignación universal por hijo","69767.67"
"2011","12","Asignación universal por hijo con discapacidad","279070.67"
"2011","12","Jefes de hogar",
"2012","1","Pensiones no contributivas por invalidez con bonos","318654.97"
"2012","1","Pensiones no contributivas por invalidez sin bonos","318654.97"
"2012","1","Pensiones no contributivas por vejez con bonos","318654.97"
"2012","1","Pensiones no contributivas por vejez sin bonos","318654.97"
"2012","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","455221.39"
"2012","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","455221.39"
"2012","1","Prestaciones previsionales por moratoria previsional con bonos","455221.39"
"2012","1","Prestaciones previsionales por moratoria previsional sin bonos","455221.39"
"2012","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","455221.39"
"2012","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","455221.39"
"2012","1","ProHuerta",
"2012","1","Argentina trabaja","380861.38"
"2012","1","Programa de empleo comunitario",
"2012","1","Trabajo autogestionado",
"2012","1","Monotributo social",
"2012","1","Seguro de capacitación y empleo","99598.42"
"2012","1","Empleo independiente",
"2012","1","Jóvenes con más y mejor trabajo",
"2012","1","Programa de inserción laboral",
"2012","1","Programa de recuperación productiva 1",
"2012","1","Asignación por embarazo para protección social","68555.05"
"2012","1","Asignación universal por hijo","68555.05"
"2012","1","Asignación universal por hijo con discapacidad","274220.19"
"2012","2","Pensiones no contributivas por invalidez con bonos","313468.68"
"2012","2","Pensiones no contributivas por invalidez sin bonos","313468.68"
"2012","2","Pensiones no contributivas por vejez con bonos","313468.68"
"2012","2","Pensiones no contributivas por vejez sin bonos","313468.68"
"2012","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","447812.41"
"2012","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","447812.41"
"2012","2","Prestaciones previsionales por moratoria previsional con bonos","447812.41"
"2012","2","Prestaciones previsionales por moratoria previsional sin bonos","447812.41"
"2012","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","447812.41"
"2012","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","447812.41"
"2012","2","ProHuerta",
"2012","2","Argentina trabaja","374662.65"
"2012","2","Programa de empleo comunitario",
"2012","2","Trabajo autogestionado",
"2012","2","Monotributo social",
"2012","2","Seguro de capacitación y empleo","100874.8"
"2012","2","Empleo independiente",
"2012","2","Jóvenes con más y mejor trabajo",
"2012","2","Programa de inserción laboral",
"2012","2","Programa de recuperación productiva 1",
"2012","2","Asignación por embarazo para protección social","67439.28"
"2012","2","Asignación universal por hijo","67439.28"
"2012","2","Asignación universal por hijo con discapacidad","269757.11"
"2012","3","Pensiones no contributivas por invalidez con bonos","360146.7"
"2012","3","Pensiones no contributivas por invalidez sin bonos","360146.7"
"2012","3","Pensiones no contributivas por vejez con bonos","360146.7"
"2012","3","Pensiones no contributivas por vejez sin bonos","360146.7"
"2012","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","514495.29"
"2012","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","514495.29"
"2012","3","Prestaciones previsionales por moratoria previsional con bonos","514495.29"
"2012","3","Prestaciones previsionales por moratoria previsional sin bonos","514495.29"
"2012","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","514495.29"
"2012","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","514495.29"
"2012","3","ProHuerta",
"2012","3","Argentina trabaja","365969.58"
"2012","3","Programa de empleo comunitario",
"2012","3","Trabajo autogestionado",
"2012","3","Monotributo social",
"2012","3","Seguro de capacitación y empleo","97122.23"
"2012","3","Empleo independiente",
"2012","3","Jóvenes con más y mejor trabajo",
"2012","3","Programa de inserción laboral",
"2012","3","Programa de recuperación productiva 1",
"2012","3","Asignación por embarazo para protección social","65874.53"
"2012","3","Asignación universal por hijo","65874.53"
"2012","3","Asignación universal por hijo con discapacidad","263498.1"
"2012","4","Pensiones no contributivas por invalidez con bonos","351896.41"
"2012","4","Pensiones no contributivas por invalidez sin bonos","351896.41"
"2012","4","Pensiones no contributivas por vejez con bonos","351896.41"
"2012","4","Pensiones no contributivas por vejez sin bonos","351896.41"
"2012","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","502709.15"
"2012","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","502709.15"
"2012","4","Prestaciones previsionales por moratoria previsional con bonos","502709.15"
"2012","4","Prestaciones previsionales por moratoria previsional sin bonos","502709.15"
"2012","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","502709.15"
"2012","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","502709.15"
"2012","4","ProHuerta",
"2012","4","Argentina trabaja","357585.9"
"2012","4","Programa de empleo comunitario",
"2012","4","Trabajo autogestionado",
"2012","4","Monotributo social",
"2012","4","Seguro de capacitación y empleo","96154.85"
"2012","4","Empleo independiente",
"2012","4","Jóvenes con más y mejor trabajo",
"2012","4","Programa de inserción laboral",
"2012","4","Programa de recuperación productiva 1",
"2012","4","Asignación por embarazo para protección social","64365.46"
"2012","4","Asignación universal por hijo","64365.46"
"2012","4","Asignación universal por hijo con discapacidad","257461.85"
"2012","5","Pensiones no contributivas por invalidez con bonos","344267.52"
"2012","5","Pensiones no contributivas por invalidez sin bonos","344267.52"
"2012","5","Pensiones no contributivas por vejez con bonos","344267.52"
"2012","5","Pensiones no contributivas por vejez sin bonos","344267.52"
"2012","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","491810.75"
"2012","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","491810.75"
"2012","5","Prestaciones previsionales por moratoria previsional con bonos","491810.75"
"2012","5","Prestaciones previsionales por moratoria previsional sin bonos","491810.75"
"2012","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","491810.75"
"2012","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","491810.75"
"2012","5","ProHuerta",
"2012","5","Argentina trabaja","349833.67"
"2012","5","Programa de empleo comunitario",
"2012","5","Trabajo autogestionado",
"2012","5","Monotributo social",
"2012","5","Seguro de capacitación y empleo","93131.55"
"2012","5","Empleo independiente",
"2012","5","Jóvenes con más y mejor trabajo",
"2012","5","Programa de inserción laboral",
"2012","5","Programa de recuperación productiva 1",
"2012","5","Asignación por embarazo para protección social","62970.06"
"2012","5","Asignación universal por hijo","62970.06"
"2012","5","Asignación universal por hijo con discapacidad","251880.24"
"2012","6","Pensiones no contributivas por invalidez con bonos","507867"
"2012","6","Pensiones no contributivas por invalidez sin bonos","507867"
"2012","6","Pensiones no contributivas por vejez con bonos","507867"
"2012","6","Pensiones no contributivas por vejez sin bonos","507867"
"2012","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","725524.29"
"2012","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","725524.29"
"2012","6","Prestaciones previsionales por moratoria previsional con bonos","725524.29"
"2012","6","Prestaciones previsionales por moratoria previsional sin bonos","725524.29"
"2012","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","483682.86"
"2012","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","483682.86"
"2012","6","ProHuerta",
"2012","6","Argentina trabaja","344052.16"
"2012","6","Programa de empleo comunitario",
"2012","6","Trabajo autogestionado",
"2012","6","Monotributo social",
"2012","6","Seguro de capacitación y empleo","94313.3"
"2012","6","Empleo independiente",
"2012","6","Jóvenes con más y mejor trabajo",
"2012","6","Programa de inserción laboral",
"2012","6","Programa de recuperación productiva 1",
"2012","6","Asignación por embarazo para protección social","61929.39"
"2012","6","Asignación universal por hijo","61929.39"
"2012","6","Asignación universal por hijo con discapacidad","247717.55"
"2012","7","Pensiones no contributivas por invalidez con bonos","333067.72"
"2012","7","Pensiones no contributivas por invalidez sin bonos","333067.72"
"2012","7","Pensiones no contributivas por vejez con bonos","333067.72"
"2012","7","Pensiones no contributivas por vejez sin bonos","333067.72"
"2012","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","475811.03"
"2012","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","475811.03"
"2012","7","Prestaciones previsionales por moratoria previsional con bonos","475811.03"
"2012","7","Prestaciones previsionales por moratoria previsional sin bonos","475811.03"
"2012","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","475811.03"
"2012","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","475811.03"
"2012","7","ProHuerta",
"2012","7","Argentina trabaja","338452.79"
"2012","7","Programa de empleo comunitario",
"2012","7","Trabajo autogestionado",
"2012","7","Monotributo social",
"2012","7","Seguro de capacitación y empleo","94809.09"
"2012","7","Empleo independiente",
"2012","7","Jóvenes con más y mejor trabajo",
"2012","7","Programa de inserción laboral",
"2012","7","Programa de recuperación productiva 1",
"2012","7","Asignación por embarazo para protección social","60921.5"
"2012","7","Asignación universal por hijo","60921.5"
"2012","7","Asignación universal por hijo con discapacidad","243686.01"
"2012","8","Pensiones no contributivas por invalidez con bonos","326656.6"
"2012","8","Pensiones no contributivas por invalidez sin bonos","326656.6"
"2012","8","Pensiones no contributivas por vejez con bonos","326656.6"
"2012","8","Pensiones no contributivas por vejez sin bonos","326656.6"
"2012","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","466652.29"
"2012","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","466652.29"
"2012","8","Prestaciones previsionales por moratoria previsional con bonos","466652.29"
"2012","8","Prestaciones previsionales por moratoria previsional sin bonos","466652.29"
"2012","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","466652.29"
"2012","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","466652.29"
"2012","8","ProHuerta",
"2012","8","Argentina trabaja","331938.02"
"2012","8","Programa de empleo comunitario",
"2012","8","Trabajo autogestionado",
"2012","8","Monotributo social",
"2012","8","Seguro de capacitación y empleo","92591.34"
"2012","8","Empleo independiente",
"2012","8","Jóvenes con más y mejor trabajo",
"2012","8","Programa de inserción laboral",
"2012","8","Programa de recuperación productiva 1",
"2012","8","Asignación por embarazo para protección social","59748.84"
"2012","8","Asignación universal por hijo","59748.84"
"2012","8","Asignación universal por hijo con discapacidad","238995.37"
"2012","9","Pensiones no contributivas por invalidez con bonos","357260.22"
"2012","9","Pensiones no contributivas por invalidez sin bonos","357260.22"
"2012","9","Pensiones no contributivas por vejez con bonos","357260.22"
"2012","9","Pensiones no contributivas por vejez sin bonos","357260.22"
"2012","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","510371.74"
"2012","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","510371.74"
"2012","9","Prestaciones previsionales por moratoria previsional con bonos","510371.74"
"2012","9","Prestaciones previsionales por moratoria previsional sin bonos","510371.74"
"2012","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","510371.74"
"2012","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","510371.74"
"2012","9","ProHuerta",
"2012","9","Argentina trabaja","325826.39"
"2012","9","Programa de empleo comunitario",
"2012","9","Trabajo autogestionado",
"2012","9","Monotributo social",
"2012","9","Seguro de capacitación y empleo","94223.56"
"2012","9","Empleo independiente",
"2012","9","Jóvenes con más y mejor trabajo",
"2012","9","Programa de inserción laboral",
"2012","9","Programa de recuperación productiva 1",
"2012","9","Asignación por embarazo para protección social","73853.98"
"2012","9","Asignación universal por hijo","73853.98"
"2012","9","Asignación universal por hijo con discapacidad","260661.11"
"2012","10","Pensiones no contributivas por invalidez con bonos","351076.5"
"2012","10","Pensiones no contributivas por invalidez sin bonos","351076.5"
"2012","10","Pensiones no contributivas por vejez con bonos","351076.5"
"2012","10","Pensiones no contributivas por vejez sin bonos","351076.5"
"2012","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","501537.85"
"2012","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","501537.85"
"2012","10","Prestaciones previsionales por moratoria previsional con bonos","501537.85"
"2012","10","Prestaciones previsionales por moratoria previsional sin bonos","501537.85"
"2012","10","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","501537.85"
"2012","10","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","501537.85"
"2012","10","ProHuerta",
"2012","10","Argentina trabaja","320186.75"
"2012","10","Programa de empleo comunitario",
"2012","10","Trabajo autogestionado",
"2012","10","Monotributo social",
"2012","10","Seguro de capacitación y empleo","93014.25"
"2012","10","Empleo independiente",
"2012","10","Jóvenes con más y mejor trabajo",
"2012","10","Programa de inserción laboral",
"2012","10","Programa de recuperación productiva 1",
"2012","10","Asignación por embarazo para protección social","72575.66"
"2012","10","Asignación universal por hijo","72575.66"
"2012","10","Asignación universal por hijo con discapacidad","256149.4"
"2012","11","Pensiones no contributivas por invalidez con bonos","344604.91"
"2012","11","Pensiones no contributivas por invalidez sin bonos","344604.91"
