"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_corrientes"
"2007","3","Pensiones no contributivas por invalidez sin bonos","371"
"2007","3","Pensiones no contributivas por vejez con bonos","371"
"2007","3","Pensiones no contributivas por vejez sin bonos","371"
"2007","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","530"
"2007","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","530"
"2007","3","Prestaciones previsionales por moratoria previsional con bonos","530"
"2007","3","Prestaciones previsionales por moratoria previsional sin bonos","530"
"2007","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","3","ProHuerta",
"2007","3","Programa de empleo comunitario",
"2007","3","Trabajo autogestionado",
"2007","3","Monotributo social",
"2007","3","Seguro de capacitación y empleo","246.47"
"2007","3","Programa de inserción laboral",
"2007","3","Programa de recuperación productiva 1",
"2007","3","Jefes de hogar",
"2007","4","Pensiones no contributivas por invalidez con bonos","371"
"2007","4","Pensiones no contributivas por invalidez sin bonos","371"
"2007","4","Pensiones no contributivas por vejez con bonos","371"
"2007","4","Pensiones no contributivas por vejez sin bonos","371"
"2007","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","530"
"2007","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","530"
"2007","4","Prestaciones previsionales por moratoria previsional con bonos","530"
"2007","4","Prestaciones previsionales por moratoria previsional sin bonos","530"
"2007","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","4","ProHuerta",
"2007","4","Programa de empleo comunitario",
"2007","4","Trabajo autogestionado",
"2007","4","Monotributo social",
"2007","4","Seguro de capacitación y empleo","258.32"
"2007","4","Programa de inserción laboral",
"2007","4","Programa de recuperación productiva 1",
"2007","4","Jefes de hogar",
"2007","5","Pensiones no contributivas por invalidez con bonos","371"
"2007","5","Pensiones no contributivas por invalidez sin bonos","371"
"2007","5","Pensiones no contributivas por vejez con bonos","371"
"2007","5","Pensiones no contributivas por vejez sin bonos","371"
"2007","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","530"
"2007","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","530"
"2007","5","Prestaciones previsionales por moratoria previsional con bonos","530"
"2007","5","Prestaciones previsionales por moratoria previsional sin bonos","530"
"2007","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","5","ProHuerta",
"2007","5","Programa de empleo comunitario",
"2007","5","Trabajo autogestionado",
"2007","5","Monotributo social",
"2007","5","Seguro de capacitación y empleo","260.43"
"2007","5","Programa de inserción laboral",
"2007","5","Programa de recuperación productiva 1",
"2007","5","Jefes de hogar",
"2007","6","Pensiones no contributivas por invalidez con bonos","556.5"
"2007","6","Pensiones no contributivas por invalidez sin bonos","556.5"
"2007","6","Pensiones no contributivas por vejez con bonos","556.5"
"2007","6","Pensiones no contributivas por vejez sin bonos","556.5"
"2007","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","795"
"2007","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","795"
"2007","6","Prestaciones previsionales por moratoria previsional con bonos","795"
"2007","6","Prestaciones previsionales por moratoria previsional sin bonos","795"
"2007","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","6","ProHuerta",
"2007","6","Programa de empleo comunitario",
"2007","6","Trabajo autogestionado",
"2007","6","Monotributo social",
"2007","6","Seguro de capacitación y empleo","263.02"
"2007","6","Programa de inserción laboral",
"2007","6","Programa de recuperación productiva 1",
"2007","6","Jefes de hogar",
"2007","7","Pensiones no contributivas por invalidez con bonos","371"
"2007","7","Pensiones no contributivas por invalidez sin bonos","371"
"2007","7","Pensiones no contributivas por vejez con bonos","371"
"2007","7","Pensiones no contributivas por vejez sin bonos","371"
"2007","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","530"
"2007","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","530"
"2007","7","Prestaciones previsionales por moratoria previsional con bonos","530"
"2007","7","Prestaciones previsionales por moratoria previsional sin bonos","530"
"2007","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","7","ProHuerta",
"2007","7","Programa de empleo comunitario",
"2007","7","Trabajo autogestionado",
"2007","7","Monotributo social",
"2007","7","Seguro de capacitación y empleo","268.82"
"2007","7","Programa de inserción laboral",
"2007","7","Programa de recuperación productiva 1",
"2007","7","Jefes de hogar",
"2007","8","Pensiones no contributivas por invalidez con bonos","371"
"2007","8","Pensiones no contributivas por invalidez sin bonos","371"
"2007","8","Pensiones no contributivas por vejez con bonos","371"
"2007","8","Pensiones no contributivas por vejez sin bonos","371"
"2007","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","530"
"2007","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","530"
"2007","8","Prestaciones previsionales por moratoria previsional con bonos","530"
"2007","8","Prestaciones previsionales por moratoria previsional sin bonos","530"
"2007","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5300"
"2007","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5300"
"2007","8","ProHuerta",
"2007","8","Programa de empleo comunitario",
"2007","8","Trabajo autogestionado",
"2007","8","Monotributo social",
"2007","8","Seguro de capacitación y empleo","258.39"
"2007","8","Programa de inserción laboral",
"2007","8","Programa de recuperación productiva 1",
"2007","8","Jefes de hogar",
"2007","9","Pensiones no contributivas por invalidez con bonos","417.34"
"2007","9","Pensiones no contributivas por invalidez sin bonos","417.34"
"2007","9","Pensiones no contributivas por vejez con bonos","417.34"
"2007","9","Pensiones no contributivas por vejez sin bonos","417.34"
"2007","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","596.2"
"2007","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","596.2"
"2007","9","Prestaciones previsionales por moratoria previsional con bonos","596.2"
"2007","9","Prestaciones previsionales por moratoria previsional sin bonos","596.2"
"2007","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2007","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2007","9","ProHuerta",
"2007","9","Programa de empleo comunitario",
"2007","9","Trabajo autogestionado",
"2007","9","Monotributo social",
"2007","9","Seguro de capacitación y empleo","266.23"
"2007","9","Programa de inserción laboral",
"2007","9","Programa de recuperación productiva 1",
"2007","9","Jefes de hogar",
"2007","10","Pensiones no contributivas por invalidez con bonos","417.34"
"2007","10","Pensiones no contributivas por invalidez sin bonos","417.34"
"2007","10","Pensiones no contributivas por vejez con bonos","417.34"
"2007","10","Pensiones no contributivas por vejez sin bonos","417.34"
"2007","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","596.2"
"2007","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","596.2"
"2007","10","Prestaciones previsionales por moratoria previsional con bonos","596.2"
"2007","10","Prestaciones previsionales por moratoria previsional sin bonos","596.2"
"2007","10","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2007","10","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2007","10","ProHuerta",
"2007","10","Programa de empleo comunitario",
"2007","10","Trabajo autogestionado",
"2007","10","Monotributo social",
"2007","10","Seguro de capacitación y empleo","252.71"
"2007","10","Programa de inserción laboral",
"2007","10","Programa de recuperación productiva 1",
"2007","10","Jefes de hogar",
"2007","11","Pensiones no contributivas por invalidez con bonos","417.34"
"2007","11","Pensiones no contributivas por invalidez sin bonos","417.34"
"2007","11","Pensiones no contributivas por vejez con bonos","417.34"
"2007","11","Pensiones no contributivas por vejez sin bonos","417.34"
"2007","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","596.2"
"2007","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","596.2"
"2007","11","Prestaciones previsionales por moratoria previsional con bonos","596.2"
"2007","11","Prestaciones previsionales por moratoria previsional sin bonos","596.2"
"2007","11","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2007","11","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2007","11","ProHuerta",
"2007","11","Programa de empleo comunitario",
"2007","11","Trabajo autogestionado",
"2007","11","Monotributo social",
"2007","11","Seguro de capacitación y empleo","253.82"
"2007","11","Programa de inserción laboral",
"2007","11","Programa de recuperación productiva 1",
"2007","11","Jefes de hogar",
"2007","12","Pensiones no contributivas por invalidez con bonos","626.01"
"2007","12","Pensiones no contributivas por invalidez sin bonos","626.01"
"2007","12","Pensiones no contributivas por vejez con bonos","626.01"
"2007","12","Pensiones no contributivas por vejez sin bonos","626.01"
"2007","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","894.3"
"2007","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","894.3"
"2007","12","Prestaciones previsionales por moratoria previsional con bonos","894.3"
"2007","12","Prestaciones previsionales por moratoria previsional sin bonos","894.3"
"2007","12","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2007","12","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2007","12","ProHuerta",
"2007","12","Programa de empleo comunitario",
"2007","12","Trabajo autogestionado",
"2007","12","Monotributo social",
"2007","12","Seguro de capacitación y empleo","250"
"2007","12","Programa de inserción laboral",
"2007","12","Programa de recuperación productiva 1",
"2007","12","Jefes de hogar",
"2008","1","Pensiones no contributivas por invalidez con bonos","417.34"
"2008","1","Pensiones no contributivas por invalidez sin bonos","417.34"
"2008","1","Pensiones no contributivas por vejez con bonos","417.34"
"2008","1","Pensiones no contributivas por vejez sin bonos","417.34"
"2008","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","596.2"
"2008","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","596.2"
"2008","1","Prestaciones previsionales por moratoria previsional con bonos","596.2"
"2008","1","Prestaciones previsionales por moratoria previsional sin bonos","596.2"
"2008","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2008","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2008","1","ProHuerta",
"2008","1","Programa de empleo comunitario",
"2008","1","Trabajo autogestionado",
"2008","1","Monotributo social",
"2008","1","Seguro de capacitación y empleo","249.1"
"2008","1","Programa de inserción laboral",
"2008","1","Programa de recuperación productiva 1",
"2008","1","Jefes de hogar",
"2008","2","Pensiones no contributivas por invalidez con bonos","417.34"
"2008","2","Pensiones no contributivas por invalidez sin bonos","417.34"
"2008","2","Pensiones no contributivas por vejez con bonos","417.34"
"2008","2","Pensiones no contributivas por vejez sin bonos","417.34"
"2008","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","596.2"
"2008","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","596.2"
"2008","2","Prestaciones previsionales por moratoria previsional con bonos","596.2"
"2008","2","Prestaciones previsionales por moratoria previsional sin bonos","596.2"
"2008","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","5962"
"2008","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","5962"
"2008","2","ProHuerta",
"2008","2","Programa de empleo comunitario",
"2008","2","Trabajo autogestionado",
"2008","2","Monotributo social",
"2008","2","Seguro de capacitación y empleo","231.28"
"2008","2","Programa de inserción laboral",
"2008","2","Programa de recuperación productiva 1",
"2008","2","Jefes de hogar",
"2008","3","Pensiones no contributivas por invalidez con bonos","458.5"
"2008","3","Pensiones no contributivas por invalidez sin bonos","458.5"
"2008","3","Pensiones no contributivas por vejez con bonos","458.5"
"2008","3","Pensiones no contributivas por vejez sin bonos","458.5"
"2008","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","655"
"2008","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","655"
"2008","3","Prestaciones previsionales por moratoria previsional con bonos","655"
"2008","3","Prestaciones previsionales por moratoria previsional sin bonos","655"
"2008","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6550"
"2008","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6550"
"2008","3","ProHuerta",
"2008","3","Programa de empleo comunitario",
"2008","3","Trabajo autogestionado",
"2008","3","Monotributo social",
"2008","3","Seguro de capacitación y empleo","242.7"
"2008","3","Programa de inserción laboral",
"2008","3","Programa de recuperación productiva 1",
"2008","3","Jefes de hogar",
"2008","4","Pensiones no contributivas por invalidez con bonos","458.5"
"2008","4","Pensiones no contributivas por invalidez sin bonos","458.5"
"2008","4","Pensiones no contributivas por vejez con bonos","458.5"
"2008","4","Pensiones no contributivas por vejez sin bonos","458.5"
"2008","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","655"
"2008","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","655"
"2008","4","Prestaciones previsionales por moratoria previsional con bonos","655"
"2008","4","Prestaciones previsionales por moratoria previsional sin bonos","655"
"2008","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6550"
"2008","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6550"
"2008","4","ProHuerta",
"2008","4","Programa de empleo comunitario",
"2008","4","Trabajo autogestionado",
"2008","4","Monotributo social",
"2008","4","Seguro de capacitación y empleo","236.24"
"2008","4","Programa de inserción laboral",
"2008","4","Programa de recuperación productiva 1",
"2008","4","Jefes de hogar",
"2008","5","Pensiones no contributivas por invalidez con bonos","458.5"
"2008","5","Pensiones no contributivas por invalidez sin bonos","458.5"
"2008","5","Pensiones no contributivas por vejez con bonos","458.5"
"2008","5","Pensiones no contributivas por vejez sin bonos","458.5"
"2008","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","655"
"2008","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","655"
"2008","5","Prestaciones previsionales por moratoria previsional con bonos","655"
"2008","5","Prestaciones previsionales por moratoria previsional sin bonos","655"
"2008","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6550"
"2008","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6550"
"2008","5","ProHuerta",
"2008","5","Programa de empleo comunitario",
"2008","5","Trabajo autogestionado",
"2008","5","Monotributo social",
"2008","5","Seguro de capacitación y empleo","234.64"
"2008","5","Jóvenes con más y mejor trabajo",
"2008","5","Programa de inserción laboral",
"2008","5","Programa de recuperación productiva 1",
"2008","5","Jefes de hogar",
"2008","6","Pensiones no contributivas por invalidez con bonos","687.75"
"2008","6","Pensiones no contributivas por invalidez sin bonos","687.75"
"2008","6","Pensiones no contributivas por vejez con bonos","687.75"
"2008","6","Pensiones no contributivas por vejez sin bonos","687.75"
"2008","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","982.5"
"2008","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","982.5"
"2008","6","Prestaciones previsionales por moratoria previsional con bonos","982.5"
"2008","6","Prestaciones previsionales por moratoria previsional sin bonos","982.5"
"2008","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6550"
"2008","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6550"
"2008","6","ProHuerta",
"2008","6","Programa de empleo comunitario",
"2008","6","Trabajo autogestionado",
"2008","6","Monotributo social",
"2008","6","Seguro de capacitación y empleo","237.98"
"2008","6","Jóvenes con más y mejor trabajo",
"2008","6","Programa de inserción laboral",
"2008","6","Programa de recuperación productiva 1",
"2008","6","Jefes de hogar",
"2008","7","Pensiones no contributivas por invalidez con bonos","483"
"2008","7","Pensiones no contributivas por invalidez sin bonos","483"
"2008","7","Pensiones no contributivas por vejez con bonos","483"
"2008","7","Pensiones no contributivas por vejez sin bonos","483"
"2008","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2008","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2008","7","Prestaciones previsionales por moratoria previsional con bonos","690"
"2008","7","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2008","7","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2008","7","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","7","ProHuerta",
"2008","7","Programa de empleo comunitario",
"2008","7","Trabajo autogestionado",
"2008","7","Monotributo social",
"2008","7","Seguro de capacitación y empleo","229.82"
"2008","7","Jóvenes con más y mejor trabajo",
"2008","7","Programa de inserción laboral",
"2008","7","Programa de recuperación productiva 1",
"2008","7","Jefes de hogar",
"2008","8","Pensiones no contributivas por invalidez con bonos","483"
"2008","8","Pensiones no contributivas por invalidez sin bonos","483"
"2008","8","Pensiones no contributivas por vejez con bonos","483"
"2008","8","Pensiones no contributivas por vejez sin bonos","483"
"2008","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2008","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2008","8","Prestaciones previsionales por moratoria previsional con bonos","690"
"2008","8","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2008","8","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2008","8","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","8","ProHuerta",
"2008","8","Programa de empleo comunitario",
"2008","8","Trabajo autogestionado",
"2008","8","Monotributo social",
"2008","8","Seguro de capacitación y empleo","225.93"
"2008","8","Jóvenes con más y mejor trabajo",
"2008","8","Programa de inserción laboral",
"2008","8","Programa de recuperación productiva 1",
"2008","8","Jefes de hogar",
"2008","9","Pensiones no contributivas por invalidez con bonos","483"
"2008","9","Pensiones no contributivas por invalidez sin bonos","483"
"2008","9","Pensiones no contributivas por vejez con bonos","483"
"2008","9","Pensiones no contributivas por vejez sin bonos","483"
"2008","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2008","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2008","9","Prestaciones previsionales por moratoria previsional con bonos","690"
"2008","9","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2008","9","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2008","9","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","9","ProHuerta",
"2008","9","Programa de empleo comunitario",
"2008","9","Trabajo autogestionado",
"2008","9","Monotributo social",
"2008","9","Seguro de capacitación y empleo","221.67"
"2008","9","Jóvenes con más y mejor trabajo",
"2008","9","Programa de inserción laboral",
"2008","9","Programa de recuperación productiva 1",
"2008","9","Jefes de hogar",
"2008","10","Pensiones no contributivas por invalidez con bonos","483"
"2008","10","Pensiones no contributivas por invalidez sin bonos","483"
"2008","10","Pensiones no contributivas por vejez con bonos","483"
"2008","10","Pensiones no contributivas por vejez sin bonos","483"
"2008","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2008","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2008","10","Prestaciones previsionales por moratoria previsional con bonos","690"
"2008","10","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2008","10","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2008","10","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","10","ProHuerta",
"2008","10","Programa de empleo comunitario",
"2008","10","Trabajo autogestionado",
"2008","10","Monotributo social",
"2008","10","Seguro de capacitación y empleo","230.03"
"2008","10","Jóvenes con más y mejor trabajo",
"2008","10","Programa de inserción laboral",
"2008","10","Programa de recuperación productiva 1",
"2008","10","Jefes de hogar",
"2008","11","Pensiones no contributivas por invalidez con bonos","483"
"2008","11","Pensiones no contributivas por invalidez sin bonos","483"
"2008","11","Pensiones no contributivas por vejez con bonos","483"
"2008","11","Pensiones no contributivas por vejez sin bonos","483"
"2008","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2008","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2008","11","Prestaciones previsionales por moratoria previsional con bonos","690"
"2008","11","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2008","11","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2008","11","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","11","ProHuerta",
"2008","11","Programa de empleo comunitario",
"2008","11","Trabajo autogestionado",
"2008","11","Monotributo social",
"2008","11","Seguro de capacitación y empleo","237.25"
"2008","11","Jóvenes con más y mejor trabajo",
"2008","11","Programa de inserción laboral",
"2008","11","Programa de recuperación productiva 1",
"2008","11","Jefes de hogar",
"2008","12","Pensiones no contributivas por invalidez con bonos","824.5"
"2008","12","Pensiones no contributivas por invalidez sin bonos","724.5"
"2008","12","Pensiones no contributivas por vejez con bonos","824.5"
"2008","12","Pensiones no contributivas por vejez sin bonos","724.5"
"2008","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","1135"
"2008","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","1035"
"2008","12","Prestaciones previsionales por moratoria previsional con bonos","1135"
"2008","12","Prestaciones previsionales por moratoria previsional sin bonos","1035"
"2008","12","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","7900"
"2008","12","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2008","12","ProHuerta",
"2008","12","Programa de empleo comunitario",
"2008","12","Trabajo autogestionado",
"2008","12","Monotributo social",
"2008","12","Seguro de capacitación y empleo","358.28"
"2008","12","Jóvenes con más y mejor trabajo",
"2008","12","Programa de inserción laboral",
"2008","12","Programa de recuperación productiva 1",
"2008","12","Jefes de hogar",
"2009","1","Pensiones no contributivas por invalidez con bonos","483"
"2009","1","Pensiones no contributivas por invalidez sin bonos","483"
"2009","1","Pensiones no contributivas por vejez con bonos","483"
"2009","1","Pensiones no contributivas por vejez sin bonos","483"
"2009","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2009","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2009","1","Prestaciones previsionales por moratoria previsional con bonos","690"
"2009","1","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2009","1","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2009","1","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2009","1","ProHuerta",
"2009","1","Programa de empleo comunitario",
"2009","1","Trabajo autogestionado",
"2009","1","Monotributo social",
"2009","1","Seguro de capacitación y empleo","245.42"
"2009","1","Jóvenes con más y mejor trabajo",
"2009","1","Programa de inserción laboral",
"2009","1","Programa de recuperación productiva 1",
"2009","1","Jefes de hogar",
"2009","2","Pensiones no contributivas por invalidez con bonos","483"
"2009","2","Pensiones no contributivas por invalidez sin bonos","483"
"2009","2","Pensiones no contributivas por vejez con bonos","483"
"2009","2","Pensiones no contributivas por vejez sin bonos","483"
"2009","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","690"
"2009","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","690"
"2009","2","Prestaciones previsionales por moratoria previsional con bonos","690"
"2009","2","Prestaciones previsionales por moratoria previsional sin bonos","690"
"2009","2","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","6900"
"2009","2","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","6900"
"2009","2","ProHuerta",
"2009","2","Programa de empleo comunitario",
"2009","2","Trabajo autogestionado",
"2009","2","Monotributo social",
"2009","2","Seguro de capacitación y empleo","235.33"
"2009","2","Jóvenes con más y mejor trabajo",
"2009","2","Programa de inserción laboral",
"2009","2","Programa de recuperación productiva 1",
"2009","2","Jefes de hogar",
"2009","3","Pensiones no contributivas por invalidez con bonos","539.46"
"2009","3","Pensiones no contributivas por invalidez sin bonos","539.46"
"2009","3","Pensiones no contributivas por vejez con bonos","539.46"
"2009","3","Pensiones no contributivas por vejez sin bonos","539.46"
"2009","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","770.66"
"2009","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","770.66"
"2009","3","Prestaciones previsionales por moratoria previsional con bonos","770.66"
"2009","3","Prestaciones previsionales por moratoria previsional sin bonos","770.66"
"2009","3","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","77066"
"2009","3","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","77066"
"2009","3","ProHuerta",
"2009","3","Programa de empleo comunitario",
"2009","3","Trabajo autogestionado",
"2009","3","Monotributo social",
"2009","3","Seguro de capacitación y empleo","227.61"
"2009","3","Jóvenes con más y mejor trabajo",
"2009","3","Programa de inserción laboral",
"2009","3","Programa de recuperación productiva 1",
"2009","3","Jefes de hogar",
"2009","4","Pensiones no contributivas por invalidez con bonos","539.46"
"2009","4","Pensiones no contributivas por invalidez sin bonos","539.46"
"2009","4","Pensiones no contributivas por vejez con bonos","539.46"
"2009","4","Pensiones no contributivas por vejez sin bonos","539.46"
"2009","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","770.66"
"2009","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","770.66"
"2009","4","Prestaciones previsionales por moratoria previsional con bonos","770.66"
"2009","4","Prestaciones previsionales por moratoria previsional sin bonos","770.66"
"2009","4","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","77066"
"2009","4","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","77066"
"2009","4","ProHuerta",
"2009","4","Programa de empleo comunitario",
"2009","4","Trabajo autogestionado",
"2009","4","Monotributo social",
"2009","4","Seguro de capacitación y empleo","237.15"
"2009","4","Jóvenes con más y mejor trabajo",
"2009","4","Programa de inserción laboral",
"2009","4","Programa de recuperación productiva 1",
"2009","4","Jefes de hogar",
"2009","5","Pensiones no contributivas por invalidez con bonos","539.46"
"2009","5","Pensiones no contributivas por invalidez sin bonos","539.46"
"2009","5","Pensiones no contributivas por vejez con bonos","539.46"
"2009","5","Pensiones no contributivas por vejez sin bonos","539.46"
"2009","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","770.66"
"2009","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","770.66"
"2009","5","Prestaciones previsionales por moratoria previsional con bonos","770.66"
"2009","5","Prestaciones previsionales por moratoria previsional sin bonos","770.66"
"2009","5","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","77066"
"2009","5","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","77066"
"2009","5","ProHuerta",
"2009","5","Programa de empleo comunitario",
"2009","5","Trabajo autogestionado",
"2009","5","Monotributo social",
"2009","5","Seguro de capacitación y empleo","245.17"
"2009","5","Jóvenes con más y mejor trabajo",
"2009","5","Programa de inserción laboral",
"2009","5","Programa de recuperación productiva 1",
"2009","5","Jefes de hogar",
"2009","6","Pensiones no contributivas por invalidez con bonos","809.19"
"2009","6","Pensiones no contributivas por invalidez sin bonos","809.19"
"2009","6","Pensiones no contributivas por vejez con bonos","809.19"
"2009","6","Pensiones no contributivas por vejez sin bonos","809.19"
"2009","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","1155.99"
"2009","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","1155.99"
"2009","6","Prestaciones previsionales por moratoria previsional con bonos","1155.99"
"2009","6","Prestaciones previsionales por moratoria previsional sin bonos","1155.99"
"2009","6","Prestaciones previsionales por moratoria previsional con bonos sin aguinaldo","77066"
"2009","6","Prestaciones previsionales por moratoria previsional sin bonos sin aguinaldo","77066"
"2009","6","ProHuerta",
"2009","6","Programa de empleo comunitario",
"2009","6","Trabajo autogestionado",
"2009","6","Monotributo social",
"2009","6","Seguro de capacitación y empleo","245.89"
